date,INFLOW-SR_BER,INFLOW-SR_BLB,INFLOW-SR_BUC,INFLOW-SR_BUL,INFLOW-SR_CFW,INFLOW-SR_CLE,INFLOW-SR_CLK_INV,INFLOW-SR_CRW,INFLOW-SR_DNP,INFLOW-SR_FOL,INFLOW-SR_GNT,INFLOW-SR_HID,INFLOW-SR_HTH,INFLOW-SR_ISB,INFLOW-SR_LL_ENR,INFLOW-SR_LVQ,INFLOW-SR_MCR,INFLOW-SR_MIL,INFLOW-SR_NHG,INFLOW-SR_NML,INFLOW-SR_PAR,INFLOW-SR_PNF,INFLOW-SR_RLL_CMB,INFLOW-SR_SCAGG,INFLOW-SR_SCC,INFLOW-SR_SHA,INFLOW-SR_TRM,INFLOW-SR_TUL,INFLOW-SR_WHI
1926-06-30,0.99,2.7,0.18,20.97,0.225,24.03,13.6908,13.41,12.51,37.98,26.37,1.1700000000000002,53.55,44.55,14.31,0.0,43.29,115.92000000000002,0.18,34.29,14.31,123.3,2.3400000000000003,0.63,1.1700000000000002,172.71,20.61,0.018,4.680000000000001
1926-07-31,0.09,0.7200000000000001,0.0,11.61,0.162,7.56,17.5446,7.920000000000001,3.69,8.91,16.83,0.18,11.25,16.740000000000002,2.07,0.0,9.45,52.2,0.0,6.75,0.81,33.300000000000004,1.89,0.09,0.54,159.66,4.32,0.0,3.87
1926-08-31,0.0,0.63,0.0,9.36,0.18,3.78,10.0215,6.75,0.0,2.25,6.84,0.0,3.78,8.55,0.63,0.0,3.15,69.03,0.0,3.33,0.7200000000000001,11.61,1.98,0.18,0.45,151.38,1.89,0.0,0.54
1926-09-30,0.0,0.0,0.0,8.01,0.108,3.42,7.2324,6.210000000000001,0.0,3.78,3.15,0.0,1.62,6.3,0.36,0.0,1.8,87.75,0.0,3.15,1.08,6.12,1.53,1.08,0.09,147.15,1.1700000000000002,0.0,0.18
1926-10-31,0.0,1.26,0.0,13.68,0.243,11.34,6.954300000000001,7.29,2.25,7.38,2.79,0.0,2.3400000000000003,7.56,0.36,0.0,1.89,45.45,0.0,3.96,1.98,6.84,2.7,7.829999999999999,0.36,176.04,1.4400000000000002,0.0,1.26
1926-11-30,53.1,38.7,6.03,96.3,1.386,157.95000000000002,70.00919999999999,8.73,30.24,61.56000000000001,2.8800000000000003,5.3100000000000005,15.57,25.65,22.14,0.018,27.72,67.5,14.94,17.73,29.25,53.1,24.03,17.009999999999998,8.64,567.72,20.88,2.25,31.41
1926-12-31,31.590000000000003,94.23,5.22,71.01,0.009,189.9,75.74040000000001,8.55,21.51,53.82,3.06,4.23,17.37,25.290000000000003,16.11,0.027,24.21,67.23,3.87,52.92,33.66,38.61,16.740000000000002,27.45,6.3,604.5300000000001,11.61,0.5760000000000001,42.21
1927-01-31,47.88,68.13000000000001,4.5,89.64,2.61,124.29,146.3373,8.1,31.14,78.12,2.8800000000000003,3.69,13.59,18.45,13.05,0.027,29.790000000000003,60.12,11.07,44.01,38.25,34.38,27.090000000000003,29.430000000000003,6.03,624.51,11.16,1.656,34.830000000000005
1927-02-28,193.23,255.69000000000003,30.15,279.36,11.628,224.01,339.8994,8.28,136.8,274.23,2.61,26.82,34.56,67.77,35.64,0.288,123.03,146.70000000000002,68.85000000000001,133.56,99.72,126.36,92.79,21.15,29.16,1246.32,52.47,10.35,109.62
1927-03-31,31.5,56.88,12.420000000000002,183.24,0.63,179.19,126.9549,13.14,77.22,179.19,3.15,12.87,35.1,65.78999999999999,33.93000000000001,0.063,78.57,128.79,14.31,117.81,75.06,108.0,41.940000000000005,24.75,26.46,769.14,45.18000000000001,2.151,71.01
1927-04-30,79.28999999999999,54.36,12.51,210.51,5.589,227.52,111.8952,9.18,173.52,261.63,7.02,17.1,76.68,90.0,68.76,0.018,161.19,209.25,34.830000000000005,230.76,145.89,210.15,47.79,15.12,24.75,926.64,71.19,5.238,46.53
1927-05-31,6.39,22.14,3.42,218.7,0.0,251.55,14.2659,12.87,90.72,265.32,23.22,8.46,210.87,166.5,107.73,0.0,266.13,267.12,4.14,284.49,189.99,476.46,22.77,1.8,20.52,496.62,108.9,0.6120000000000001,24.12
1927-06-30,1.89,10.26,1.08,147.96,0.0,162.54,8.8992,24.48,23.76,215.91,32.940000000000005,5.13,286.83,144.9,118.17000000000002,0.0,203.04,339.39000000000004,1.35,203.76,170.28,459.09,13.95,0.54,7.470000000000001,311.67,79.28999999999999,0.207,13.14
1927-07-31,0.54,3.06,0.18,39.87,0.009,42.21,17.901899999999998,18.27,16.650000000000002,53.55,21.06,1.35,87.03,67.95,28.08,0.0,48.24,186.57,0.18,50.67,28.71,175.41,6.48,0.18,1.98,219.42,24.57,0.027,9.09
1927-08-31,0.09,1.4400000000000002,0.0,20.340000000000003,0.009,12.87,11.8989,9.9,6.66,10.71,8.46,0.27,12.51,24.12,2.97,0.0,9.27,101.16,0.0,14.670000000000002,2.79,41.85,4.23,0.45,1.08,186.12,5.3100000000000005,0.0,5.04
1927-09-30,0.0,0.81,0.0,14.490000000000002,0.189,7.29,6.559200000000001,8.19,6.57,6.75,3.87,0.09,3.87,13.32,1.35,0.0,2.3400000000000003,88.11000000000001,0.0,7.470000000000001,1.62,16.92,2.97,1.62,0.7200000000000001,179.91,2.8800000000000003,0.0,2.43
1927-10-31,0.0,1.35,0.54,17.82,0.531,10.170000000000002,6.3162,9.72,1.35,10.53,2.07,0.7200000000000001,4.59,12.6,8.01,0.0,8.370000000000001,71.82,0.27,7.29,7.2,14.85,3.87,8.64,0.99,186.66,2.97,0.036,1.1700000000000002
1927-11-30,22.05,9.9,4.680000000000001,57.42,0.369,67.41000000000001,22.4154,10.62,21.42,47.88,2.16,4.23,26.55,24.48,31.32,0.027,39.06,103.05,2.61,34.47,28.08,57.330000000000005,13.32,14.76,6.84,405.09,17.46,0.396,33.57
1927-12-31,21.06,23.31,3.51,40.95,1.179,37.98,31.3668,7.920000000000001,20.16,40.32,2.25,3.24,11.97,17.19,8.28,0.009,19.98,60.21000000000001,6.75,21.96,16.650000000000002,26.37,11.7,13.68,3.96,307.62,8.01,1.017,14.58
1928-01-31,24.48,46.62,5.22,55.71,0.0,71.10000000000001,46.4175,8.1,21.51,37.440000000000005,2.07,4.77,13.23,16.56,12.420000000000002,0.045,19.26,53.46,4.32,26.73,20.7,26.19,13.14,31.680000000000003,4.23,419.31,7.829999999999999,0.648,32.580000000000005
1928-02-29,56.88,86.13000000000001,8.01,65.43,4.203,111.6,91.8567,8.1,48.42,51.66,1.89,7.920000000000001,13.5,16.02,13.77,0.072,43.38,65.25,17.37,40.59,29.790000000000003,29.07,23.67,32.04,6.210000000000001,575.5500000000001,9.81,2.61,56.52
1928-03-31,83.07,113.94,11.25,416.16,1.611,199.62,178.2261,8.82,168.93,365.76,2.3400000000000003,13.32,63.45,29.340000000000003,79.02,0.036,143.19,140.31,57.24,215.82,172.8,85.41000000000001,94.68,19.8,14.31,880.74,29.7,8.604000000000001,90.99
1928-04-30,39.51,50.85,6.12,168.03,2.286,171.81,86.2038,7.02,113.49,223.2,5.04,10.8,69.39,34.02,55.8,0.018,127.89,147.06,18.090000000000003,182.97000000000003,119.34,141.39,25.56,8.55,14.31,709.74,35.190000000000005,2.727,36.36
1928-05-31,5.3100000000000005,17.46,0.99,154.62,0.0,178.56,17.505,12.51,65.25,192.42,16.92,4.14,240.12,69.21000000000001,97.83,0.0,185.13,185.76,2.8800000000000003,200.61,154.98,290.7,13.77,2.61,0.0,354.33,47.25,0.432,12.69
1928-06-30,0.81,6.3,0.18,32.31,0.342,43.11,7.7049,11.52,22.14,56.34,23.94,1.26,89.73,54.27,25.56,0.0,61.47,121.77,0.7200000000000001,54.36,26.1,136.8,4.95,0.27,0.63,224.19,18.090000000000003,0.108,11.25
1928-07-31,0.18,1.89,0.0,17.1,0.423,15.03,15.3306,6.39,5.760000000000001,14.85,15.3,0.18,15.57,16.83,3.51,0.0,13.77,72.72,0.09,12.96,4.32,35.01,3.87,0.9,0.36,198.81,3.87,0.018,8.91
1928-08-31,0.0,0.99,0.0,12.06,0.297,6.210000000000001,18.3303,5.4,1.62,3.69,6.210000000000001,0.0,4.77,8.28,0.27,0.0,1.62,99.72,0.0,5.67,2.16,13.41,2.97,0.0,0.45,176.49,1.8,0.0,0.27
1928-09-30,0.0,0.0,0.0,10.44,0.369,4.680000000000001,7.9065,5.58,0.0,2.3400000000000003,2.8800000000000003,0.0,2.25,5.94,0.0,0.0,0.0,90.18,0.0,2.79,0.18,6.57,2.52,0.99,0.0,170.1,0.81,0.0,0.36
1928-10-31,0.0,0.54,0.0,12.87,0.0,8.01,1.0089,7.2,0.0,6.210000000000001,1.8,0.0,2.07,7.829999999999999,1.26,0.0,2.52,28.26,0.0,2.7,1.26,6.930000000000001,1.89,6.84,0.36,179.73,1.1700000000000002,0.0,0.45
1928-11-30,1.1700000000000002,3.87,0.27,15.75,0.7020000000000001,20.790000000000003,8.435699999999999,7.56,1.62,9.9,1.8,0.54,1.26,10.8,2.3400000000000003,0.009,4.59,26.01,0.81,5.67,3.24,10.26,4.23,5.4,2.16,215.55,4.41,0.126,0.54
1928-12-31,13.32,10.35,0.63,23.76,0.6120000000000001,22.77,18.5589,7.829999999999999,7.470000000000001,12.51,1.98,0.9,4.05,12.33,4.86,0.018,6.66,30.780000000000005,2.43,8.73,5.3100000000000005,13.68,5.58,13.59,3.24,234.09000000000003,6.57,0.369,12.78
1929-01-31,5.58,7.02,0.7200000000000001,20.16,0.5040000000000001,25.92,12.8493,7.29,8.55,15.840000000000002,1.8,0.99,3.96,12.51,4.86,0.009,10.08,30.42,4.23,10.98,6.84,13.68,4.86,14.4,3.42,241.83,6.39,0.639,9.45
1929-02-28,32.4,21.96,1.26,27.0,2.1870000000000003,40.32,36.4338,7.02,21.96,36.36,1.62,1.89,6.3,13.23,8.46,0.009,19.71,34.56,9.72,19.08,13.14,18.9,9.36,10.08,5.94,333.36,7.38,1.467,13.05
