date,PMP_Banks-D800,PMP_Tracy-D701
1949-12-31,147.43531694279793,187.7405531108105
1950-01-31,208.66619587997937,237.5211141200205
1950-02-28,348.609785,233.25
1950-03-31,236.07,241.965105
1950-04-30,397.0,249.92
1950-05-31,298.5026389483083,258.25
1950-06-30,274.15,249.92
1950-07-31,131.0071725275108,251.7964334007445
1950-08-31,94.43,252.24602637171148
1950-09-30,230.2586622134388,249.92
1950-10-31,248.06812251351155,176.7458674864885
1950-11-30,216.72230271573636,241.5194465189637
1950-12-31,105.79123244529748,230.9461316538253
1951-01-31,357.95359957803464,258.25
1951-02-28,372.91700494955546,233.25
1951-03-31,470.0,258.25
1951-04-30,397.0,249.92
1951-05-31,411.0,258.25
1951-06-30,370.5664218916616,249.92
1951-07-31,174.48049999999995,258.25
1951-08-31,94.43,248.60902637171156
1951-09-30,282.4599822134388,249.92
1951-10-31,219.21304377401293,249.94845622598712
1951-11-30,170.29625461636866,163.32626077281847
1951-12-31,132.5772948364001,131.38163381382336
1952-01-31,345.1845249265607,258.25
1952-02-29,341.16,233.25
1952-03-31,469.7544748449143,258.25
1952-04-30,397.0,249.92
1952-05-31,411.0,258.25
1952-06-30,397.0,273.72
1952-07-31,385.4317689978839,258.25
1952-08-31,313.53427265027693,258.25
1952-09-30,304.5957879128563,249.92
1952-10-31,207.4455,258.25
1952-11-30,181.94562808685356,169.67883288301172
1952-12-31,196.21288745295973,258.25
1953-01-31,478.0,258.25
1953-02-28,294.819785,233.25
1953-03-31,312.80310500000013,258.25
1953-04-30,397.0,249.92
1953-05-31,330.5,258.25
1953-06-30,207.27565140803455,249.92
1953-07-31,163.0265,258.25
1953-08-31,115.57802637171152,258.25
1953-09-30,309.10298221343874,249.92
1953-10-31,200.74315130089465,213.9183486991054
1953-11-30,174.51462808685355,166.6060139700848
1953-12-31,188.86,187.0588700536084
1954-01-31,188.86,210.85031
1954-02-28,405.0,233.25
1954-03-31,441.0,258.25
1954-04-30,397.0,249.92
1954-05-31,188.86,258.25
1954-06-30,182.76,170.571
1954-07-31,199.877211927857,258.25
1954-08-31,131.93902637171152,258.25
1954-09-30,211.37693990394828,249.92
1954-10-31,219.6077901606808,229.2957098393192
1954-11-30,94.7144585137453,157.66854819510445
1954-12-31,188.86,239.9458700536084
1955-01-31,236.07,244.6386366960988
1955-02-28,167.53250469015973,141.4387921577545
1955-03-31,176.1874959836797,177.14660901632033
1955-04-30,223.706985,249.92
1955-05-31,188.86,258.25
1955-06-30,194.00776216583796,198.60446078240705
1955-07-31,94.43,133.5145
1955-08-31,94.43,155.7414672319266
1955-09-30,165.92661524672425,194.9533669667145
1955-10-31,216.8485141443398,144.10398585566026
1955-11-30,178.2674558062994,159.9059191937006
1955-12-31,186.8791064309863,258.25
1956-01-31,424.93,258.25
1956-02-29,383.81,233.25
1956-03-31,494.0,258.25
1956-04-30,397.0,249.92
1956-05-31,411.0,282.79
1956-06-30,397.0,273.72
1956-07-31,338.86096404437075,258.25
1956-08-31,196.0019781077856,258.25
1956-09-30,301.31208223806243,249.92
1956-10-31,171.46254363266053,258.25
1956-11-30,161.06670093110492,172.7613294889753
1956-12-31,188.86,215.6818700536084
1957-01-31,179.25443995810156,143.46883825700053
1957-02-28,213.23,182.174785
1957-03-31,442.0,258.25
1957-04-30,386.3282070671946,249.92
1957-05-31,411.0,258.25
1957-06-30,375.89885452968406,249.92
1957-07-31,126.2665,258.25
1957-08-31,103.00002637171156,258.25
1957-09-30,213.84998221343872,249.92
1957-10-31,194.3797784022024,183.6727215977977
1957-11-30,186.02600081873945,170.30078412810266
1957-12-31,188.86,229.6278700536084
1958-01-31,309.39563669609873,258.25
1958-02-28,402.2523480437445,233.25
1958-03-31,514.0,258.25
1958-04-30,397.0,249.92
1958-05-31,411.0,282.79
1958-06-30,397.0,273.72
1958-07-31,339.0959640443708,258.25
1958-08-31,176.95809708995864,258.25
1958-09-30,320.48587185770134,249.92
1958-10-31,240.6811332127278,258.25
1958-11-30,214.9227286002192,176.18472365907448
1958-12-31,188.86,237.7188700536084
1959-01-31,214.99163669609877,258.25
1959-02-28,440.0,233.25
1959-03-31,240.43410977520492,258.25
1959-04-30,158.252985,249.92
1959-05-31,53.27507422754897,238.53801075268817
1959-06-30,54.64729739110683,171.18604114856754
1959-07-31,159.79398719382783,258.25
1959-08-31,138.71746723192655,258.25
1959-09-30,201.01966221343875,249.92
1959-10-31,195.346486486528,174.852013513472
1959-11-30,152.34474318037567,163.2377568196243
1959-12-31,141.64,157.99487005360842
1960-01-31,159.1397898572971,141.59052014270287
1960-02-29,251.731785,233.25
1960-03-31,236.07,210.75810499999992
1960-04-30,137.6085736325386,211.6574113674614
1960-05-31,141.64,148.75179944217822
1960-06-30,158.27373326533217,59.85860527434218
1960-07-31,94.43,235.02650000000008
1960-08-31,94.43,176.8034672319265
1960-09-30,109.20236067638716,247.0221393236128
1960-10-31,187.79508678476563,167.96741321523436
1960-11-30,215.5696327190938,151.4661522277482
1960-12-31,146.52905288099703,177.13481717261146
1961-01-31,148.55453099163523,131.91410570446348
1961-02-28,213.23,209.26529684791424
1961-03-31,236.07,140.62125764805063
1961-04-30,137.07,97.89149999999998
1961-05-31,159.79501386185757,168.65492707013914
1961-06-30,157.8207332653322,57.04949462365591
1961-07-31,94.43,230.77750000000003
1961-08-31,94.43,146.18846723192647
1961-09-30,118.3330853134008,222.56841468659923
1961-10-31,162.60364000822267,32.59885999177735
1961-11-30,150.6399036498107,132.1268812970313
1961-12-31,142.5132123046406,157.08165774896787
1962-01-31,141.64,97.93509610079984
1962-02-28,383.81,233.25
1962-03-31,327.9319867928917,258.25
1962-04-30,367.1674751185769,249.92
1962-05-31,236.07,258.25
1962-06-30,182.76,188.1780715216073
1962-07-31,152.7535000000001,258.25
1962-08-31,94.43,240.3170263717115
1962-09-30,169.52798221343878,249.92
1962-10-31,263.1267878961244,256.06520210387555
1962-11-30,218.10561492007807,157.18317002676395
1962-12-31,188.86,247.4688700536084
1963-01-31,188.86,194.49531
1963-02-28,414.6014795833793,233.25
1963-03-31,312.13410500000003,258.25
1963-04-30,397.0,249.92
1963-05-31,334.13021972884525,258.25
1963-06-30,137.07,173.82507195271768
1963-07-31,204.63766104407733,258.25
1963-08-31,117.11502637171144,258.25
1963-09-30,162.7126475738438,249.92
1963-10-31,231.7545,258.25
1963-11-30,79.05445851374532,173.71375174796543
1963-12-31,188.86,235.83487005360848
1964-01-31,188.86,252.6106366960987
