link,i,j,k,cost,amplitude,lower_bound,upper_bound
SR_WHI.1923-04-30_D5.1923-04-30_2,SR_WHI.1923-04-30,D5.1923-04-30,2,-1.12182,1.0,0.0,39.318
SR_WHI.1923-04-30_D5.1923-04-30_3,SR_WHI.1923-04-30,D5.1923-04-30,3,-1.08306,1.0,0.0,39.318
SR_WHI.1923-04-30_D5.1923-04-30_4,SR_WHI.1923-04-30,D5.1923-04-30,4,-1.02673,1.0,0.0,29.589
SR_WHI.1923-04-30_D5.1923-04-30_5,SR_WHI.1923-04-30,D5.1923-04-30,5,-0.91123,1.0,0.0,0.0
SR_WHI.1923-05-31_D5.1923-05-31_0,SR_WHI.1923-05-31,D5.1923-05-31,0,-1.23229,1.0,0.0,81.164
SR_WHI.1923-05-31_D5.1923-05-31_1,SR_WHI.1923-05-31,D5.1923-05-31,1,-1.13942,1.0,0.0,40.582
SR_WHI.1923-05-31_D5.1923-05-31_2,SR_WHI.1923-05-31,D5.1923-05-31,2,-1.09805,1.0,0.0,40.582
SR_WHI.1923-05-31_D5.1923-05-31_3,SR_WHI.1923-05-31,D5.1923-05-31,3,-1.05256,1.0,0.0,40.582
SR_WHI.1923-05-31_D5.1923-05-31_4,SR_WHI.1923-05-31,D5.1923-05-31,4,-0.99653,1.0,0.0,30.811
SR_WHI.1923-05-31_D5.1923-05-31_5,SR_WHI.1923-05-31,D5.1923-05-31,5,-0.90576,1.0,0.0,0.0
SR_WHI.1923-06-30_D5.1923-06-30_0,SR_WHI.1923-06-30,D5.1923-06-30,0,-1.22873,1.0,0.0,78.637
SR_WHI.1923-06-30_D5.1923-06-30_1,SR_WHI.1923-06-30,D5.1923-06-30,1,-1.15828,1.0,0.0,39.318
SR_WHI.1923-06-30_D5.1923-06-30_2,SR_WHI.1923-06-30,D5.1923-06-30,2,-1.12833,1.0,0.0,39.318
SR_WHI.1923-06-30_D5.1923-06-30_3,SR_WHI.1923-06-30,D5.1923-06-30,3,-1.09742,1.0,0.0,39.318
SR_WHI.1923-06-30_D5.1923-06-30_4,SR_WHI.1923-06-30,D5.1923-06-30,4,-1.05545,1.0,0.0,29.589
SR_WHI.1923-06-30_D5.1923-06-30_5,SR_WHI.1923-06-30,D5.1923-06-30,5,-0.98305,1.0,0.0,0.0
SR_WHI.1923-07-31_D5.1923-07-31_0,SR_WHI.1923-07-31,D5.1923-07-31,0,-1.53005,1.0,0.0,81.164
SR_WHI.1923-07-31_D5.1923-07-31_1,SR_WHI.1923-07-31,D5.1923-07-31,1,-1.48754,1.0,0.0,40.582
SR_WHI.1923-07-31_D5.1923-07-31_2,SR_WHI.1923-07-31,D5.1923-07-31,2,-1.46923,1.0,0.0,40.582
SR_WHI.1923-07-31_D5.1923-07-31_3,SR_WHI.1923-07-31,D5.1923-07-31,3,-1.43846,1.0,0.0,40.582
SR_WHI.1923-07-31_D5.1923-07-31_4,SR_WHI.1923-07-31,D5.1923-07-31,4,-1.27705,1.0,0.0,30.811
SR_WHI.1923-07-31_D5.1923-07-31_5,SR_WHI.1923-07-31,D5.1923-07-31,5,-1.12245,1.0,0.0,0.0
SR_WHI.1923-08-31_D5.1923-08-31_0,SR_WHI.1923-08-31,D5.1923-08-31,0,-1.491,1.0,0.0,81.164
SR_WHI.1923-08-31_D5.1923-08-31_1,SR_WHI.1923-08-31,D5.1923-08-31,1,-1.477,1.0,0.0,40.582
SR_WHI.1923-08-31_D5.1923-08-31_2,SR_WHI.1923-08-31,D5.1923-08-31,2,-1.47159,1.0,0.0,40.582
SR_WHI.1923-08-31_D5.1923-08-31_3,SR_WHI.1923-08-31,D5.1923-08-31,3,-1.46391,1.0,0.0,40.582
SR_WHI.1923-08-31_D5.1923-08-31_4,SR_WHI.1923-08-31,D5.1923-08-31,4,-1.26439,1.0,0.0,30.811
SR_WHI.1923-08-31_D5.1923-08-31_5,SR_WHI.1923-08-31,D5.1923-08-31,5,-1.11955,1.0,0.0,0.0
SR_WHI.1923-09-30_D5.1923-09-30_0,SR_WHI.1923-09-30,D5.1923-09-30,0,-1.38152,1.0,0.0,78.637
SR_WHI.1923-09-30_D5.1923-09-30_1,SR_WHI.1923-09-30,D5.1923-09-30,1,-1.36845,1.0,0.0,39.318
SR_WHI.1923-09-30_D5.1923-09-30_2,SR_WHI.1923-09-30,D5.1923-09-30,2,-1.36419,1.0,0.0,39.318
SR_WHI.1923-09-30_D5.1923-09-30_3,SR_WHI.1923-09-30,D5.1923-09-30,3,-1.36001,1.0,0.0,39.318
SR_WHI.1923-09-30_D5.1923-09-30_4,SR_WHI.1923-09-30,D5.1923-09-30,4,-1.35336,1.0,0.0,29.589
SR_WHI.1923-09-30_D5.1923-09-30_5,SR_WHI.1923-09-30,D5.1923-09-30,5,-1.33994,1.0,0.0,0.0
SR_WHI.1922-10-31_D73.1922-10-31_0,SR_WHI.1922-10-31,D73.1922-10-31,0,0.0148,1.0,12.297,1000000000000.0
SR_WHI.1922-11-30_D73.1922-11-30_0,SR_WHI.1922-11-30,D73.1922-11-30,0,0.0148,1.0,11.901,1000000000000.0
SR_WHI.1922-12-31_D73.1922-12-31_0,SR_WHI.1922-12-31,D73.1922-12-31,0,0.0148,1.0,12.297,1000000000000.0
SR_WHI.1923-01-31_D73.1923-01-31_0,SR_WHI.1923-01-31,D73.1923-01-31,0,0.0148,1.0,12.297,1000000000000.0
SR_WHI.1923-02-28_D73.1923-02-28_0,SR_WHI.1923-02-28,D73.1923-02-28,0,0.0148,1.0,11.107,1000000000000.0
SR_WHI.1923-03-31_D73.1923-03-31_0,SR_WHI.1923-03-31,D73.1923-03-31,0,0.0148,1.0,12.297,1000000000000.0
SR_WHI.1923-04-30_D73.1923-04-30_0,SR_WHI.1923-04-30,D73.1923-04-30,0,0.0148,1.0,11.901,1000000000000.0
SR_WHI.1923-05-31_D73.1923-05-31_0,SR_WHI.1923-05-31,D73.1923-05-31,0,0.0148,1.0,17.058,1000000000000.0
